Entity,Code,Year,"Homicide rate per 100,000 population - sex: Female - age: Total",World region according to OWID
Afghanistan,AFG,2018,1.4357685,
Afghanistan,AFG,2019,1.2702497,
Afghanistan,AFG,2023,,Asia
Africa (UN),,2000,4.476579,
Africa (UN),,2001,4.4664197,
Africa (UN),,2002,4.4596257,
Africa (UN),,2003,4.333797,
Africa (UN),,2004,4.245534,
Africa (UN),,2005,4.191136,
Africa (UN),,2006,4.1866684,
Africa (UN),,2007,4.1424026,
Africa (UN),,2008,4.059038,
Africa (UN),,2009,4.172635,
Africa (UN),,2010,4.2221584,
Africa (UN),,2011,4.157788,
Africa (UN),,2012,4.1375437,
Africa (UN),,2013,4.1528497,
Africa (UN),,2014,4.1645308,
Africa (UN),,2015,4.1829,
Africa (UN),,2016,4.158333,
Africa (UN),,2017,4.0772395,
Africa (UN),,2018,3.9494815,
Africa (UN),,2019,3.835519,
Africa (UN),,2020,3.8209658,
Africa (UN),,2021,3.9786215,
Africa (UN),,2022,4.100322,
Africa (UN),,2023,4.022749,
Aland Islands,ALA,2023,,Europe
Albania,ALB,1992,0.85319525,
Albania,ALB,1993,0.97404385,
Albania,ALB,1994,0.7304811,
Albania,ALB,1995,1.5835675,
Albania,ALB,1996,1.7071817,
Albania,ALB,1997,10.81225,
Albania,ALB,1998,5.329881,
Albania,ALB,1999,3.9962041,
Albania,ALB,2000,0.8022854,
Albania,ALB,2001,2.4174953,
Albania,ALB,2002,2.431295,
Albania,ALB,2003,1.3183668,
Albania,ALB,2004,1.2024593,
Albania,ALB,2005,1.3410416,
Albania,ALB,2006,1.4833145,
Albania,ALB,2007,1.5644153,
Albania,ALB,2008,1.2526656,
Albania,ALB,2009,0.4670545,
Albania,ALB,2010,0.74314255,
Albania,ALB,2011,1.2239815,
Albania,ALB,2012,1.768731,
Albania,ALB,2013,1.3616368,
Albania,ALB,2014,0.8180617,
Albania,ALB,2015,1.0927227,
Albania,ALB,2016,1.1614147,
Albania,ALB,2017,0.8880992,
Albania,ALB,2018,1.0262305,
Albania,ALB,2019,0.89234203,
Albania,ALB,2020,0.6204556,
Albania,ALB,2021,0.83334434,
Albania,ALB,2022,0.55969846,
Albania,ALB,2023,0.8441487,Europe
Albania,ALB,2024,0.6375098,
Algeria,DZA,2012,0.28324157,
Algeria,DZA,2013,0.20808928,
Algeria,DZA,2014,0.44668955,
Algeria,DZA,2015,0.36329874,
Algeria,DZA,2016,0.37581632,
Algeria,DZA,2017,0.2748727,
