Entity,Code,Year,Homicides - sex: Female - age: Total,Homicides - sex: Male - age: Total
Afghanistan,AFG,2018,261,
Afghanistan,AFG,2019,238,
Africa (UN),,2000,18695.023,95113.14
Africa (UN),,2001,19123.71,97181.98
Africa (UN),,2002,19577.646,99134.21
Africa (UN),,2003,19506.363,98416.69
Africa (UN),,2004,19595.855,99100.71
Africa (UN),,2005,19841.13,100576.51
Africa (UN),,2006,20328.37,103636.53
Africa (UN),,2007,20631.25,104538.23
Africa (UN),,2008,20740.793,107118.91
Africa (UN),,2009,21875.703,107724.836
Africa (UN),,2010,22711.55,109057.35
Africa (UN),,2011,22940.895,112978.21
Africa (UN),,2012,23417.258,116605.445
Africa (UN),,2013,24119.447,119826.19
Africa (UN),,2014,24815.723,124371.695
Africa (UN),,2015,25564.65,126118.305
Africa (UN),,2016,26058.916,129136.57
Africa (UN),,2017,26195.459,131274.83
Africa (UN),,2018,26013.072,128748.69
Africa (UN),,2019,25885.322,128817.79
Africa (UN),,2020,26413.021,124525.65
Africa (UN),,2021,28157.037,129847.96
Africa (UN),,2022,29696.432,130737.15
Africa (UN),,2023,29815.45,128651.43
Albania,ALB,1992,14,116
Albania,ALB,1993,16,175
Albania,ALB,1994,12,100
Albania,ALB,1995,26,233
Albania,ALB,1996,28,244
Albania,ALB,1997,177,1157
Albania,ALB,1998,87,573
Albania,ALB,1999,65,467
Albania,ALB,2000,13,118
Albania,ALB,2001,39,181
Albania,ALB,2002,39,177
Albania,ALB,2003,21,145
Albania,ALB,2004,19,112
Albania,ALB,2005,21,133
Albania,ALB,2006,23,72
Albania,ALB,2007,24,81
Albania,ALB,2008,19,74
Albania,ALB,2009,7,78
Albania,ALB,2010,11,108
Albania,ALB,2011,18,124
Albania,ALB,2012,26,131
Albania,ALB,2013,20,104
Albania,ALB,2014,12,122
Albania,ALB,2015,16,48
Albania,ALB,2016,17,62
Albania,ALB,2017,13,45
Albania,ALB,2018,15,51
Albania,ALB,2019,13,52
Albania,ALB,2020,9,52
Albania,ALB,2021,12,54
Albania,ALB,2022,8,40
Albania,ALB,2023,12,27
Albania,ALB,2024,9,43
Algeria,DZA,2012,52,195
Algeria,DZA,2013,39,170
Algeria,DZA,2014,85.48148,491.51852
Algeria,DZA,2015,71,475
Algeria,DZA,2016,75,467
Algeria,DZA,2017,56,468
Algeria,DZA,2018,86,482
Algeria,DZA,2019,86,433
Algeria,DZA,2020,122,532
Algeria,DZA,2021,160,535
Algeria,DZA,2022,112,683
Algeria,DZA,2023,105,431
American Samoa,ASM,2016,0,0
American Samoa,ASM,2017,1,6
American Samoa,ASM,2018,1,12
American Samoa,ASM,2019,0,0
Americas (UN),,2000,14114.689,116543.36
Americas (UN),,2001,15332.56,123403.96
Americas (UN),,2002,15239.156,125483.195
Americas (UN),,2003,14974.255,125885.43
Americas (UN),,2004,14390.193,119055.22
Americas (UN),,2005,14382.851,118087.85
Americas (UN),,2006,14362.772,121672.86
Americas (UN),,2007,14049.498,119798.97
Americas (UN),,2008,14639.321,129139.79
Americas (UN),,2009,15877.6875,135971.97
Americas (UN),,2010,16241.583,139877.05
Americas (UN),,2011,16769.803,142927.81
Americas (UN),,2012,16968.162,145526.25
Americas (UN),,2013,16570.54,142611.34
Americas (UN),,2014,16424.691,141738.58
Americas (UN),,2015,16281.444,140714.12
Americas (UN),,2016,17313.084,148262.83
Americas (UN),,2017,18309.37,151573.17
Americas (UN),,2018,17801.623,146480.83
Americas (UN),,2019,16860.275,135941.08
Americas (UN),,2020,16979.459,136898.53
Americas (UN),,2021,18178.46,137840.16
Americas (UN),,2022,18008.879,135961.03
Americas (UN),,2023,17868.455,132635.31
Andorra,AND,2007,0,0
Andorra,AND,2008,1,0
Andorra,AND,2009,0,0
Andorra,AND,2010,0,0
Andorra,AND,2011,0,1
Andorra,AND,2012,0,0
Andorra,AND,2013,0,0
Andorra,AND,2014,0,0
Andorra,AND,2015,0,0
Andorra,AND,2020,,2
Anguilla,AIA,1991,0,1
Anguilla,AIA,1993,1,0
Anguilla,AIA,2000,0,1
Anguilla,AIA,2008,0,1
Anguilla,AIA,2009,0,1
Anguilla,AIA,2013,0,1
Antigua and Barbuda,ATG,1990,1,0
Antigua and Barbuda,ATG,1991,2,1
Antigua and Barbuda,ATG,1992,1,1
Antigua and Barbuda,ATG,1993,0,4
Antigua and Barbuda,ATG,1994,1,4
Antigua and Barbuda,ATG,1995,2,5
Antigua and Barbuda,ATG,1996,1,2
Antigua and Barbuda,ATG,1997,0,1
Antigua and Barbuda,ATG,2001,0.7777778,6.2222223
Antigua and Barbuda,ATG,2002,1.25,3.75
Antigua and Barbuda,ATG,2008,5,11
Antigua and Barbuda,ATG,2015,1,4
Antigua and Barbuda,ATG,2016,2,7
Antigua and Barbuda,ATG,2017,2,18
Antigua and Barbuda,ATG,2018,3,9
Antigua and Barbuda,ATG,2019,1,2
Antigua and Barbuda,ATG,2020,1,8
Antigua and Barbuda,ATG,2021,5,11
Antigua and Barbuda,ATG,2022,1,9
Antigua and Barbuda,ATG,2023,1,9
Argentina,ARG,2015,387,2450
Argentina,ARG,2017,408,1909
Argentina,ARG,2018,396,1988
Argentina,ARG,2019,408,1896
Argentina,ARG,2020,372,2045
Argentina,ARG,2021,308,1786
Argentina,ARG,2022,345,1613
Argentina,ARG,2023,362,1684
Armenia,ARM,1990,22.798029,155.20197
Armenia,ARM,1991,29.76,156.24
Armenia,ARM,1993,53.97222,214.02777
Armenia,ARM,1994,24.558659,132.44135
Armenia,ARM,1995,19.09756,96.902435
Armenia,ARM,1996,23,91
Armenia,ARM,1997,21.649485,78.35052
Armenia,ARM,1998,15.5,77.5
Armenia,ARM,1999,19.285715,70.71429
Armenia,ARM,2000,25.852272,65.14773
Armenia,ARM,2001,18.373627,69.62637
Armenia,ARM,2002,19.581081,49.41892
Armenia,ARM,2003,10.857142,65.14286
Armenia,ARM,2004,22,61
Armenia,ARM,2005,11,47
Armenia,ARM,2006,26,53
Armenia,ARM,2007,13,64
Armenia,ARM,2008,26.358696,70.641304
Armenia,ARM,2009,25,72
Armenia,ARM,2010,10,46
Armenia,ARM,2011,19,52
Armenia,ARM,2012,19,46
Armenia,ARM,2013,19,44
Armenia,ARM,2014,20,52
Armenia,ARM,2015,21,54
Armenia,ARM,2016,14,69
Armenia,ARM,2017,11,59
Armenia,ARM,2018,11,39
Armenia,ARM,2019,10,63
Armenia,ARM,2020,22,53
Armenia,ARM,2021,21,69
Armenia,ARM,2022,22,57
Armenia,ARM,2023,11,54
Aruba,ABW,1990,0,0
Aruba,ABW,1995,0,6
Aruba,ABW,1999,1,1
Aruba,ABW,2001,2,2
Aruba,ABW,2002,1,4
Aruba,ABW,2003,1,3
Aruba,ABW,2004,0,2
Aruba,ABW,2005,1,5
Aruba,ABW,2006,1,4
Aruba,ABW,2007,0,3
Aruba,ABW,2008,1,4
Aruba,ABW,2009,1,3
Aruba,ABW,2010,0,4
Aruba,ABW,2011,0,2
Aruba,ABW,2012,1,3
Aruba,ABW,2013,1,5
Aruba,ABW,2014,0,2
Asia (UN),,2000,36460.227,89316.55
Asia (UN),,2001,36269.66,88108.43
Asia (UN),,2002,35398.594,87273.414
Asia (UN),,2003,34894.016,85934.13
Asia (UN),,2004,36275.547,85911.555
Asia (UN),,2005,34494.555,83347.445
Asia (UN),,2006,33997.06,81645.48
Asia (UN),,2007,34562.55,79762.23
Asia (UN),,2008,34661.215,79801.62
Asia (UN),,2009,36282.465,78147.47
Asia (UN),,2010,35038.656,78040.586
Asia (UN),,2011,36489.195,79710.664
Asia (UN),,2012,36663.305,80072.484
Asia (UN),,2013,36169.254,78991.766
Asia (UN),,2014,36252.203,78931.91
Asia (UN),,2015,33025.664,73894.78
Asia (UN),,2016,33482.78,70807.61
Asia (UN),,2017,32895.098,67379.14
Asia (UN),,2018,32290.252,64757.594
Asia (UN),,2019,32254.04,62102.258
Asia (UN),,2020,31320.059,61883.066
Asia (UN),,2021,32939,73525.695
Asia (UN),,2022,31200.709,60892.996
Asia (UN),,2023,32229.791,62355.18
Australia,AUS,1990,138,236
Australia,AUS,1991,143,197
Australia,AUS,1992,117,184
Australia,AUS,1993,118.4908,214.5092
Australia,AUS,1994,114.9226,205.0774
Australia,AUS,1995,139.7718,216.2282
Australia,AUS,1996,112.88545,241.11455
Australia,AUS,1997,121.71609,242.2839
Australia,AUS,1998,106.42712,227.57288
Australia,AUS,1999,123.564186,261.43582
Australia,AUS,2000,136.04575,225.95425
Australia,AUS,2001,116.042206,230.9578
Australia,AUS,2002,121.149826,244.85017
Australia,AUS,2003,96.35798,205.64203
Australia,AUS,2004,92.53704,170.46297
Australia,AUS,2005,94.36434,164.63567
Australia,AUS,2006,92.871284,188.12872
Australia,AUS,2007,85.338646,169.66136
Australia,AUS,2008,101,160
Australia,AUS,2009,76.1583,186.8417
Australia,AUS,2010,94,137
Australia,AUS,2011,90,158
Australia,AUS,2012,83,160
Australia,AUS,2013,94,151
Australia,AUS,2014,94,149
Australia,AUS,2015,85,151
Australia,AUS,2016,80,147
Australia,AUS,2017,63,144
Australia,AUS,2018,84,135
Australia,AUS,2019,68,156
Australia,AUS,2020,74,150
Australia,AUS,2021,49,141
Australia,AUS,2022,68,150
Australia,AUS,2023,71,152
Australia and New Zealand (UN),,2000,156.84575,257.15424
Australia and New Zealand (UN),,2001,137.21202,260.788
Australia and New Zealand (UN),,2002,147.72125,278.27875
Australia and New Zealand (UN),,2003,110.50083,235.49916
Australia and New Zealand (UN),,2004,104.475815,203.52419
Australia and New Zealand (UN),,2005,121.104065,198.89594
Australia and New Zealand (UN),,2006,110.20974,219.79025
Australia and New Zealand (UN),,2007,104.338646,198.66136
Australia and New Zealand (UN),,2008,124,188
Australia and New Zealand (UN),,2009,101.1583,228.8417
Australia and New Zealand (UN),,2010,116.52381,157.4762
Australia and New Zealand (UN),,2011,105,182
Australia and New Zealand (UN),,2012,104,180
Australia and New Zealand (UN),,2013,106,185
Australia and New Zealand (UN),,2014,107.681816,178.31818
Australia and New Zealand (UN),,2015,101,183
Australia and New Zealand (UN),,2016,102,175
Australia and New Zealand (UN),,2017,76.304344,166.69565
Australia and New Zealand (UN),,2018,103.76712,172.23288
Australia and New Zealand (UN),,2019,97.021126,241.97887
Australia and New Zealand (UN),,2020,87.00893,185.99107
Australia and New Zealand (UN),,2021,103.77368,159.22632
Australia and New Zealand (UN),,2022,103.623856,209.37614
Australia and New Zealand (UN),,2023,95.57481,192.02966
Austria,AUT,1990,39.872,49.128
Austria,AUT,1991,46.81818,56.18182
Austria,AUT,1992,42.74576,54.25424
Austria,AUT,1993,34.71698,45.28302
Austria,AUT,1994,52.425533,35.574467
Austria,AUT,1995,38.07143,39.92857
Austria,AUT,1996,50.53125,48.46875
Austria,AUT,1997,37.304348,28.695652
Austria,AUT,1998,33.846153,43.153847
Austria,AUT,1999,31.764706,28.235294
Austria,AUT,2000,53.573334,28.426666
Austria,AUT,2001,41.81818,28.181818
Austria,AUT,2002,37.68116,27.31884
Austria,AUT,2003,23.404255,26.595745
Austria,AUT,2004,31.918034,27.081966
Austria,AUT,2005,24.179104,29.820896
Austria,AUT,2006,29.134329,31.865671
Austria,AUT,2007,24.23077,20.76923
Austria,AUT,2008,29,29
Austria,AUT,2009,28.137932,22.862068
Austria,AUT,2010,33,28
Austria,AUT,2011,35,42
Austria,AUT,2012,38,43
Austria,AUT,2013,29,32
Austria,AUT,2014,22,20
Austria,AUT,2015,17,27
Austria,AUT,2016,31,23
Austria,AUT,2017,37,33
Austria,AUT,2018,44,42
Austria,AUT,2019,40,37
Austria,AUT,2020,37,28
Austria,AUT,2021,40,25
Austria,AUT,2022,41,38
Austria,AUT,2023,45,35
Azerbaijan,AZE,2010,62,144
Azerbaijan,AZE,2011,75,136
Azerbaijan,AZE,2012,58,144
Azerbaijan,AZE,2013,70,151
Azerbaijan,AZE,2014,87,149
Azerbaijan,AZE,2015,72,139
Azerbaijan,AZE,2016,71,98
Azerbaijan,AZE,2017,76,106
Azerbaijan,AZE,2018,65,132
Azerbaijan,AZE,2019,60,108
Azerbaijan,AZE,2020,78,141
Azerbaijan,AZE,2021,66,108
Azerbaijan,AZE,2022,82,102
Azerbaijan,AZE,2023,73,150
Azerbaijan,AZE,2024,65,141
Bahamas,BHS,1993,6,29
Bahamas,BHS,1994,5.571429,46.42857
Bahamas,BHS,1995,6.6666665,33.333332
Bahamas,BHS,1996,7.4634147,43.536587
Bahamas,BHS,1997,6.8510637,39.148937
Bahamas,BHS,2000,16.444445,57.555557
Bahamas,BHS,2001,5.16,37.84
Bahamas,BHS,2002,12.235294,39.764706
Bahamas,BHS,2003,6,44
Bahamas,BHS,2004,2,42
Bahamas,BHS,2005,8,44
Bahamas,BHS,2006,5,56
Bahamas,BHS,2007,8,70
Bahamas,BHS,2008,7,66
Bahamas,BHS,2009,10,77
Bahamas,BHS,2010,13,81
Bahamas,BHS,2011,16,111
Bahamas,BHS,2012,10,100
