Entity,Code,Year,"Homicide rate per 100,000 population - sex: Male - age: Total",World region according to OWID
Afghanistan,AFG,2023,,Asia
Africa (UN),,2000,23.031822,
Africa (UN),,2001,22.946056,
Africa (UN),,2002,22.820242,
Africa (UN),,2003,22.084568,
Africa (UN),,2004,21.674894,
Africa (UN),,2005,21.438515,
Africa (UN),,2006,21.528952,
Africa (UN),,2007,21.16136,
Africa (UN),,2008,21.124355,
Africa (UN),,2009,20.695953,
Africa (UN),,2010,20.411135,
Africa (UN),,2011,20.601748,
Africa (UN),,2012,20.716105,
Africa (UN),,2013,20.73162,
Africa (UN),,2014,20.961374,
Africa (UN),,2015,20.71231,
Africa (UN),,2016,20.677034,
Africa (UN),,2017,20.498178,
Africa (UN),,2018,19.603477,
Africa (UN),,2019,19.13739,
Africa (UN),,2020,18.058826,
Africa (UN),,2021,18.390898,
Africa (UN),,2022,18.09167,
Africa (UN),,2023,17.394743,
Aland Islands,ALA,2023,,Europe
Albania,ALB,1992,7.0662317,
Albania,ALB,1993,10.702133,
Albania,ALB,1994,6.147579,
Albania,ALB,1995,14.412034,
Albania,ALB,1996,15.197304,
Albania,ALB,1997,72.64725,
Albania,ALB,1998,36.315792,
Albania,ALB,1999,29.896572,
Albania,ALB,2000,7.6337037,
Albania,ALB,2001,11.793809,
Albania,ALB,2002,11.568563,
Albania,ALB,2003,9.506903,
Albania,ALB,2004,7.3753963,
Albania,ALB,2005,8.80671,
Albania,ALB,2006,4.7992735,
Albania,ALB,2007,5.440742,
Albania,ALB,2008,5.0129895,
Albania,ALB,2009,5.332513,
Albania,ALB,2010,7.4558806,
Albania,ALB,2011,8.605771,
Albania,ALB,2012,9.097074,
Albania,ALB,2013,7.228487,
Albania,ALB,2014,8.490692,
Albania,ALB,2015,3.346348,
Albania,ALB,2016,4.323165,
Albania,ALB,2017,3.1371083,
Albania,ALB,2018,3.560033,
Albania,ALB,2019,3.6410258,
Albania,ALB,2020,3.6583483,
Albania,ALB,2021,3.830726,
Albania,ALB,2022,2.860684,
Albania,ALB,2023,1.9423,Europe
Albania,ALB,2024,3.115881,
Algeria,DZA,2012,1.0110291,
Algeria,DZA,2013,0.864163,
Algeria,DZA,2014,2.4492204,
Algeria,DZA,2015,2.3197455,
Algeria,DZA,2016,2.2350738,
Algeria,DZA,2017,2.19551,
Algeria,DZA,2018,2.218663,
Algeria,DZA,2019,1.9576114,
Algeria,DZA,2020,2.3654616,
Algeria,DZA,2021,2.3415177,
Algeria,DZA,2022,2.9430933,
Algeria,DZA,2023,1.8302081,Africa
American Samoa,ASM,2016,0,
American Samoa,ASM,2017,22.918259,
